Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64de292f7c4be1b5f882a5c5,5dd74005794e106ec44df770,APPROVED,2023-08-17T14:05:38Z,2023-08-17T14:18:52Z,2023-08-17T17:32:35Z,2023-08-17T14:18:53Z,795,C6VEY6VR,1817,35,Male,White,United States,United States,United States,English,No,Part-Time
64de3283c697d557ff1b34cf,5ac440da9534ba0001c736da,APPROVED,2023-08-17T14:45:30Z,2023-08-17T15:00:00Z,2023-08-17T17:32:35Z,2023-08-17T15:00:00Z,870,C6VEY6VR,5419,42,Male,White,United States,United States,United States,English,No,Full-Time
64de3991df73ef9d82eddaba,628f9ef985fa6d3dc816672c,APPROVED,2023-08-17T15:18:14Z,2023-08-17T15:37:24Z,2023-08-17T17:32:36Z,2023-08-17T15:37:25Z,1151,C6VEY6VR,2016,31,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de1d582d98eec55010a4d7,5ec20598203e9e2e8a2855e0,APPROVED,2023-08-17T13:15:08Z,2023-08-17T13:29:05Z,2023-08-17T17:32:26Z,2023-08-17T13:29:05Z,837,C6VEY6VR,1280,28,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de20f40febedbb0ac74f2f,62c30d738badf86bc0875490,APPROVED,2023-08-17T13:33:36Z,2023-08-17T13:51:57Z,2023-08-17T17:32:27Z,2023-08-17T13:51:58Z,1102,C6VEY6VR,1573,40,Female,Other,United States,United States,United States,English,No,Full-Time
64de23adbeb258b381a7bd74,64c321a6f229b218741bcbcc,APPROVED,2023-08-17T13:42:11Z,2023-08-17T14:00:28Z,2023-08-17T17:32:27Z,2023-08-17T14:00:29Z,1098,C6VEY6VR,28,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64de23d30b9e04cb2ef69f68,5974561734b844000168d1e0,APPROVED,2023-08-17T13:42:53Z,2023-08-17T13:58:36Z,2023-08-17T17:32:27Z,2023-08-17T13:58:37Z,944,C6VEY6VR,2844,48,Female,Black,United States,United States,United States,English,No,Full-Time
64de24c9e4989554a5a30a34,6491d720871d9f5e16eafb93,APPROVED,2023-08-17T13:46:53Z,2023-08-17T14:42:19Z,2023-08-17T17:32:27Z,2023-08-17T14:42:20Z,3327,C6VEY6VR,252,19,Female,White,United States,United States,United States,English,Yes,Part-Time
64de25a393556fea67b3c5af,64d529c4d1b5c8da54b617df,APPROVED,2023-08-17T13:50:31Z,2023-08-17T14:05:12Z,2023-08-17T17:32:27Z,2023-08-17T14:05:13Z,882,C6VEY6VR,16,48,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64de25bad90a074010de8f58,61112e5f99facb9056c5e6ba,APPROVED,2023-08-17T13:51:01Z,2023-08-17T14:08:26Z,2023-08-17T17:32:27Z,2023-08-17T14:08:26Z,1046,C6VEY6VR,341,23,Female,White,United States,United States,United States,English,Yes,Full-Time
64de25e8bb76a5187845ac43,57587b29713d8400061730e4,APPROVED,2023-08-17T13:51:55Z,2023-08-17T14:07:18Z,2023-08-17T17:32:28Z,2023-08-17T14:07:18Z,923,C6VEY6VR,4748,41,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de2606af65d38d1b1b3430,5a96dac56475f900019fcfb7,APPROVED,2023-08-17T13:52:15Z,2023-08-17T14:15:17Z,2023-08-17T17:32:28Z,2023-08-17T14:15:18Z,1382,C6VEY6VR,126,37,Female,Black,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
