"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
2,44,13,6,0,1,-89,0,12,4,1
2,-39,6,6,0,1,-89,0,5,5,0
2,3,11,6,0,1,-89,0,10,2,1
2,-16,11,6,0,1,-89,0,10,2,1
2,2,11,6,0,1,-89,0,10,2,1
2,-52,54,6,0,1,-89,0,53,5,6
2,41,23,2,1,2,282,0,22,6,2
2,-22,14,2,1,2,282,0,13,5,1
2,33,20,2,1,2,282,0,19,3,2
2,22,20,2,1,2,282,0,19,3,2
2,25,20,2,1,2,282,0,19,3,2
2,29,20,2,1,2,282,0,19,3,2
2,23,29,2,1,2,282,0,28,4,3
2,54,47,2,1,2,282,0,46,6,5
2,45,47,2,1,2,282,0,46,6,5
2,42,47,2,1,2,282,0,46,6,5
2,-39,55,2,1,2,282,0,54,6,6
2,263,63,2,1,2,282,1,62,6,7
2,-54,18,2,1,2,282,0,17,1,2
2,-15,27,2,1,2,282,0,26,2,3
2,-31,11,2,1,2,282,0,10,2,1
2,-58,52,2,1,2,282,0,51,3,6
2,-72,45,2,1,2,282,0,44,4,5
2,21,15,2,1,2,282,0,14,6,1
2,-21,22,2,1,2,282,0,21,5,2
2,-2,21,2,1,2,282,0,20,4,2
2,20,32,2,1,2,282,0,31,7,3
2,-44,31,2,1,2,282,0,30,6,3
2,10,35,2,1,2,282,0,34,2,4
2,11,35,2,1,2,282,0,34,2,4
2,1,35,2,1,2,282,0,34,2,4
2,-37,26,1,0,3,176,0,25,1,3
2,-44,18,1,0,3,176,0,17,1,2
2,8,44,1,0,3,176,0,43,3,5
2,-6,52,1,0,3,176,0,51,3,6
2,37,15,1,0,3,176,0,14,6,1
2,-51,4,1,0,3,176,0,3,3,0
2,43,11,1,0,3,176,0,10,2,1
2,-59,20,1,0,3,176,0,19,3,2
2,29,55,1,0,3,176,0,54,6,6
2,38,45,1,0,3,176,0,44,4,5
2,32,41,1,0,3,176,0,40,0,5
2,-23,43,1,0,3,176,0,42,2,5
2,-26,28,1,0,3,176,0,27,3,3
2,48,1,1,0,3,176,0,0,0,0
2,-11,32,1,0,3,176,0,31,7,3
2,48,1,1,0,3,176,0,0,0,0
2,52,1,1,0,3,176,0,0,0,0
2,-33,59,1,0,3,176,0,58,2,7
2,15,22,1,0,3,176,0,21,5,2
2,47,22,1,0,3,176,0,21,5,2
2,20,6,1,0,3,176,0,5,5,0
2,11,6,1,0,3,176,0,5,5,0
2,32,6,1,0,3,176,0,5,5,0
2,40,37,1,0,3,176,0,36,4,4
2,-34,36,1,0,3,176,0,35,3,4
2,7,36,6,0,4,-102,0,35,3,4
2,-39,26,6,0,4,-102,0,25,1,3
2,17,1,6,0,4,-102,0,0,0,0
2,-31,56,6,0,4,-102,0,55,7,6
2,5,30,6,0,4,-102,0,29,5,3
2,13,18,6,0,4,-102,0,17,1,2
2,31,10,6,0,4,-102,0,9,1,1
2,-2,14,6,0,4,-102,0,13,5,1
2,31,28,6,0,4,-102,0,27,3,3
2,25,10,6,0,4,-102,0,9,1,1
2,-55,20,6,0,4,-102,0,19,3,2
2,48,59,6,0,4,-102,0,58,2,7
2,-5,58,6,0,4,-102,0,57,1,7
2,-70,50,6,0,4,-102,0,49,1,6
2,53,42,6,0,4,-102,0,41,1,5
2,47,42,6,0,4,-102,0,41,1,5
2,-31,35,6,0,4,-102,0,34,2,4
2,-20,27,6,0,4,-102,0,26,2,3
2,-51,19,6,0,4,-102,0,18,2,2
2,1,23,6,0,4,-102,0,22,6,2
2,1,23,6,0,4,-102,0,22,6,2
2,5,23,6,0,4,-102,0,22,6,2
2,-24,12,6,0,4,-102,0,11,3,1
2,-12,46,6,0,4,-102,0,45,5,5
2,-46,54,6,0,4,-102,0,53,5,6
2,46,55,3,1,5,3383,0,54,6,6
2,55,55,3,1,5,3383,0,54,6,6
2,46,55,3,1,5,3383,0,54,6,6
2,57,55,3,1,5,3383,0,54,6,6
2,60,55,3,1,5,3383,0,54,6,6
2,44,55,3,1,5,3383,0,54,6,6
2,60,55,3,1,5,3383,0,54,6,6
2,-37,44,3,1,5,3383,0,43,3,5
2,-14,35,3,1,5,3383,0,34,2,4
2,-21,9,3,1,5,3383,0,8,0,1
2,-44,12,3,1,5,3383,0,11,3,1
2,-44,38,3,1,5,3383,0,37,5,4
2,-20,29,3,1,5,3383,0,28,4,3
2,266,57,3,1,5,3383,1,56,0,7
2,267,57,3,1,5,3383,1,56,0,7
2,241,57,3,1,5,3383,1,56,0,7
2,286,57,3,1,5,3383,1,56,0,7
2,278,57,3,1,5,3383,1,56,0,7
2,240,57,3,1,5,3383,1,56,0,7
2,250,57,3,1,5,3383,1,56,0,7
2,268,57,3,1,5,3383,1,56,0,7
2,280,57,3,1,5,3383,1,56,0,7
2,251,57,3,1,5,3383,1,56,0,7
2,279,57,3,1,5,3383,1,56,0,7
2,289,57,3,1,5,3383,1,56,0,7
2,1,24,5,0,6,537,0,23,7,2
2,36,10,5,0,6,537,0,9,1,1
2,-16,1,5,0,6,537,0,0,0,0
2,-48,61,5,0,6,537,0,60,4,7
2,31,31,5,0,6,537,0,30,6,3
2,56,31,5,0,6,537,0,30,6,3
2,47,31,5,0,6,537,0,30,6,3
2,29,31,5,0,6,537,0,30,6,3
2,27,31,5,0,6,537,0,30,6,3
2,60,31,5,0,6,537,0,30,6,3
2,74,31,5,0,6,537,0,30,6,3
2,57,31,5,0,6,537,0,30,6,3
