"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id","cell","x","y","round_gem_found","performance_group_f","performance_group"
85,5,51,4,1,11,-58,0,6,1019,1019,50,2,6,NA,NA,NA
85,-38,52,4,1,11,-58,0,7,1019,1019,51,3,6,NA,NA,NA
85,-34,53,4,1,11,-58,0,8,1019,1019,52,4,6,NA,NA,NA
85,-49,54,4,1,11,-58,0,9,1019,1019,53,5,6,NA,NA,NA
85,25,8,4,1,11,-58,0,10,1019,1019,7,7,0,NA,NA,NA
85,12,1,4,1,11,-58,0,11,1019,1019,0,0,0,NA,NA,NA
85,-41,57,4,1,11,-58,0,12,1019,1019,56,0,7,NA,NA,NA
85,0,64,4,1,11,-58,0,13,1019,1019,63,7,7,NA,NA,NA
85,20,32,4,1,11,-58,0,14,1019,1019,31,7,3,NA,NA,NA
85,-70,25,4,1,11,-58,0,15,1019,1019,24,0,3,NA,NA,NA
85,-24,5,4,1,11,-58,0,16,1019,1019,4,4,0,NA,NA,NA
85,20,61,4,1,11,-58,0,17,1019,1019,60,4,7,NA,NA,NA
85,-15,59,4,1,11,-58,0,18,1019,1019,58,2,7,NA,NA,NA
85,59,3,4,1,11,-58,0,19,1019,1019,2,2,0,NA,NA,NA
85,27,62,4,1,11,-58,0,20,1019,1019,61,5,7,NA,NA,NA
85,-50,6,4,1,11,-58,0,21,1019,1019,5,5,0,NA,NA,NA
85,22,40,4,1,11,-58,0,22,1019,1019,39,7,4,NA,NA,NA
85,-6,33,4,1,11,-58,0,23,1019,1019,32,0,4,NA,NA,NA
85,7,38,4,1,11,-58,0,24,1019,1019,37,5,4,NA,NA,NA
85,58,23,4,1,11,-58,0,25,1019,1019,22,6,2,NA,NA,NA
85,51,2,1,0,12,85,0,1,1020,1020,1,1,0,NA,NA,NA
85,36,31,1,0,12,85,0,2,1020,1020,30,6,3,NA,NA,NA
85,22,51,1,0,12,85,0,3,1020,1020,50,2,6,NA,NA,NA
85,-22,28,1,0,12,85,0,4,1020,1020,27,3,3,NA,NA,NA
85,8,8,1,0,12,85,0,5,1020,1020,7,7,0,NA,NA,NA
85,-1,64,1,0,12,85,0,6,1020,1020,63,7,7,NA,NA,NA
85,25,57,1,0,12,85,0,7,1020,1020,56,0,7,NA,NA,NA
85,51,1,1,0,12,85,0,8,1020,1020,0,0,0,NA,NA,NA
85,-3,25,1,0,12,85,0,9,1020,1020,24,0,3,NA,NA,NA
85,46,41,1,0,12,85,0,10,1020,1020,40,0,5,NA,NA,NA
85,11,6,1,0,12,85,0,11,1020,1020,5,5,0,NA,NA,NA
85,-49,38,1,0,12,85,0,12,1020,1020,37,5,4,NA,NA,NA
85,-51,54,1,0,12,85,0,13,1020,1020,53,5,6,NA,NA,NA
85,6,61,1,0,12,85,0,14,1020,1020,60,4,7,NA,NA,NA
85,-31,59,1,0,12,85,0,15,1020,1020,58,2,7,NA,NA,NA
85,34,44,1,0,12,85,0,16,1020,1020,43,3,5,NA,NA,NA
85,12,19,1,0,12,85,0,17,1020,1020,18,2,2,NA,NA,NA
85,48,13,1,0,12,85,0,18,1020,1020,12,4,1,NA,NA,NA
